year,id,j2051b,j2054b
2008,743,20,0
2009,743,20,0
2006,744,30,60
2007,744,60,60
2008,744,60,60
2009,744,60,90
2006,745,120,60
2007,745,60,30
2008,745,30,60
2009,745,40,90
2006,753,30,30
2006,754,30,15
2007,754,60,0
2008,754,120,0
2009,754,120,0
2006,755,0,10
2007,755,30,30
2008,755,20,60
2006,756,40,10
2007,756,40,20
2006,760,40,0
2007,760,40,0
2009,760,10,0
2006,763,60,60
2007,763,120,60
2006,764,40,60
2007,764,20,60
2008,766,0,0
2009,766,0,0
2006,767,0,0
2008,767,10,120
2006,768,30,30
2008,768,80,0
2009,768,130,160
2007,774,20,20
2006,775,20,90
2007,775,30,60
2008,775,20,60
2009,775,15,120
2006,776,40,0
2007,776,60,0
2008,776,40,0
2009,776,30,0
2007,777,60,120
2008,777,40,120
2009,777,40,120
2006,778,30,0
2007,778,30,60
2008,778,30,0
2009,778,30,30
2006,781,30,40
2007,781,40,60
2008,781,30,60
2006,782,40,0
2007,782,50,20
2008,782,30,0
2006,783,20,0
2007,783,60,10
2008,783,60,60
2009,783,90,180
2006,784,0,40
2007,784,20,10
2006,785,0,0
2007,785,20,0
2008,785,10,90
2006,789,40,0
2007,789,40,0
2006,790,60,30
2007,790,30,180
2008,790,20,60
2009,790,20,60
2006,791,10,15
2007,791,30,0
2008,791,60,60
2009,791,40,0
2006,801,60,90
2007,801,60,60
2008,801,40,90
2009,801,45,90
2006,804,40,30
2007,804,30,30
2008,804,30,60
2006,810,20,120
2007,810,30,90
2008,810,30,60
2009,810,60,90
2006,811,0,15
2007,811,10,0
2008,811,60,0
2009,811,60,0
2006,813,0,60
2007,813,20,30
2009,813,30,30
2006,817,15,40
2007,817,10,0
2006,821,0,0
2006,822,60,40
2007,822,65,60
2006,823,30,0
2007,823,30,0
2008,823,40,30
2008,824,30,20
2006,826,0,0
2008,826,0,0
2006,835,0,0
2006,838,0,20
2006,840,0,0
2009,841,0,30
2006,843,60,0
2007,843,60,0
2006,844,60,40
2007,844,40,60
2006,847,30,0
2007,847,40,40
2006,848,20,30
2007,848,40,40
2006,849,40,0
2007,849,20,30
2006,850,40,0
2007,850,60,0
2006,851,5,0
2007,851,10,120
2006,854,0,0
2009,854,0,0
2008,855,0,0
2006,866,60,0
2008,866,60,0
2009,866,60,0
2006,883,20,20
2008,883,40,0
2006,888,20,60
2007,888,20,60
2008,888,20,60
2009,888,10,60
2006,890,20,0
2007,890,60,0
2008,890,60,10
2009,890,60,0
2007,891,10,0
2008,891,20,10
2009,891,20,10
2006,898,60,120
2007,898,60,90
2008,898,60,120
2006,899,80,0
2007,899,60,0
2008,899,50,30
2009,899,30,0
2006,900,30,0
2008,900,120,0
2009,900,20,0
2008,901,0,0
2009,901,60,0
2006,902,90,0
2007,902,60,0
2008,902,0,0
2006,903,30,120
2006,909,30,60
2007,909,60,60
2008,909,30,60
2009,909,40,60
2006,910,40,0
2007,910,30,10
2009,910,30,0
2006,915,0,0
2008,915,0,0
2006,916,15,40
2007,916,0,120
2008,916,60,120
2009,916,50,120
2006,917,18,0
2007,917,30,0
2008,917,30,0
2009,917,30,0
2006,918,0,0
2007,918,60,0
2008,918,180,0
2009,918,80,30
2008,919,0,0
2006,920,30,0
2007,920,30,0
2006,921,20,20
2007,921,30,90
2008,921,60,120
2009,921,60,60
2006,922,20,10
2007,922,30,0
2008,922,60,0
2006,923,20,20
2007,923,90,60
2006,924,40,0
2007,924,80,0
2009,924,80,60
2006,925,0,0
2007,926,75,60
2007,939,0,0
2008,939,0,0
2009,939,0,0
2007,957,0,0
2009,957,0,0
2006,962,60,90
2007,962,20,40
2008,962,20,60
2009,962,30,80
2006,966,0,0
2007,966,0,0
2008,966,0,0
2009,966,0,0
2007,969,20,60
2008,969,90,60
2009,969,60,60
2006,970,20,60
2007,970,80,60
2008,970,60,30
2009,970,40,60
2006,971,60,0
2007,971,80,60
2008,971,60,60
2009,971,60,60
2006,972,0,0
2007,972,0,0
2008,972,0,0
2006,973,10,120
2007,973,20,60
2008,973,20,120
2009,973,40,30
2006,976,60,0
2007,976,50,0
2006,977,10,0
2006,978,0,60
2006,979,80,0
2007,979,40,0
2008,979,60,20
2009,979,35,20
2006,980,120,0
2007,980,40,0
2008,980,40,0
2009,980,50,0
2006,981,30,0
